"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""00 Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""""";
"=""Выберите информационные системы""";"=""""";
"=""Выберите сервисы""";"=""""";
"=""Выберите период формирования отчета с""";"=""07.02.2014""";
"=""по""";"=""10.02.2014""";
"=""Время генерации отчета""";"=""14.07.2014 13:17:45""";

"=""Сводные показатели""";

"=""Ведомство""";"=""Сервис""";"=""Кол-во отключений сервиса за период""";"=""Общее время недоступности за период""";"=""Самый продолжительный интервал недоступности""";"=""Среднее время недоступности""";"=""Общее время недоступности, без учета кратковременных прерываний""";
"=""Росморречфлот""";"=""(00-SID0003403) - Сервис приема заявлений о проведении аккредитации специализированных организаций в области обеспечения транспортной безопасности в установленной сфере деятельности""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росморречфлот""";"=""(00-SID0003404) - Сервис приема заявлений на выдачу разрешения на перевозки и буксировку в каботаже судами, плавающими под флагом иностранного государства, а также судами, зарегистрированными в Российском международном реестре судов""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росморречфлот""";"=""(00-SID0003405) - Сервис приема заявлений на выдачу заключений о наличии неразрывной связи объектов инфраструктуры морского порта и об обеспечении технологического процесса оказания услуг в морском порту""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росморречфлот""";"=""(00-SID0003406) - Сервис передачи сведений из реестра морских портов РФ""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росморречфлот""";"=""(00-SID0003678) - Электронный сервис предоставления сведений об охране судов""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росморречфлот""";"=""(00-SID0003753) - Сервис предоставления сведений о наличии судов внутреннего плавания""";"=""1""";"=""00:01:24""";"=""00:01:24""";"=""00:01:24""";"=""00:00:00""";
"=""Росморречфлот""";"=""(00-SID0003757) - Электронный сервис предоставления сведений об охране судов""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росморречфлот""";"=""(00-SID0003758) - Электронный сервис предоставления органам государственной власти сведений об охране портовых средств (МК ОСПС)""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росморречфлот""";"=""(00-SID0003759) - Электронный сервис для работы с заявками получателей государственных услуг с потрала www.gosuslugi.ru""";"=""1""";"=""00:00:24""";"=""00:00:24""";"=""00:00:24""";"=""00:00:00""";
"=""Росморречфлот""";"=""(00-SID0003760) - Электронный сервис для работы с организационной структурой ведомства""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособоронзаказ""";"=""(00-SID0003664) - Сервис для приема заявок с Единого портала государственных услуг""";"=""2""";"=""00:04:56""";"=""00:03:48""";"=""00:02:28""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003022) - Сервис приема заявлений на лицензирование образовательной деятельности""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003110) - Сервис предоставления сведений о результатах единого государственного экзамена""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003172) - Сервис предоставления информации о наличии сведений об аккредитованной организации в Реестре аккредитованных образовательных учреждений и научных организаций""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003184) - Сервис предоставления информации о наличии сведений о выданной лицензии на осуществление образовательной деятельности в Реестре лицензий""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003185) - Cервис предоставления информации о наличии в информационной системе Рособрнадзора сведений о выдаче свидетельства о признании документа иностранного государства об уровне образования и(или) квалификации на территории Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003317) - Сервис приема заявлений об установлении в Российской Федерации эквивалентности документов иностранных государств об образовании, установление и признание такой эквивалентности""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003384) - Сервис предоставления информации о выданной лицензии на осуществление образовательной деятельности в Реестре лицензий""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003455) - Сервис приема заявлений с ПГУ на лицензирование образовательной деятельности""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003689) - Сервис приема заявлений об установлении в Российской Федерации эквивалентности документов иностранных государств об образовании, установление и признание такой эквивалентности""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Рособрнадзор""";"=""(00-SID0003729) - Сервис приема заявлений с ПГУ на государственную аккредитацию образовательной деятельности""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспатент""";"(00-SID0003066) - Веб-сервис приема материалов заявок в архивированном виде о получении патентов Российской Федерации на изобретение, полезную модель, промышленный образец, а также о регистрации товарного знака, знака обслуживания, свидетельств на наименование места происхождения товара, и признании общеизвестного в Российской Федерации товарного знака.";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспатент""";"=""(00-SID0003189) - Веб-сервис передачи сведений о зарегистрированных объектах интеллектуальной собственности и получения сведений из ФОИВ при осуществлении электронного взаимодействия с органами исполнительной власти""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Роспатент""";"=""(00-SID0003323) - Веб-сервис передачи сведений о зарегистрированных объектах интеллектуальной собственностипри осуществлении электронного взаимодействия с органами""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003068) - Сервис приема заявления на предоставление субсидий в сфере электронных средств массовой информации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"(00-SID0003069) - Сервис приема заявления для получения справки на использование льгот, предусмотренных законодательством РФ для книжной продукции (ИФ ""Заявление на получение льгот для книжной продукции"")";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003070) - Сервис приема заявления для предоставление субсидий для выпуска периодических изданий для инвалидов по зрению""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003071) - Сервис приема заявления для получение льгот для полиграфической продукции""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003072) - Сервис приема заявления для предоставление субсидий для выпуска периодических изданий для инвалидов""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"(00-SID0003073) - Сервис приема заявления для получения справки на использование льгот, предусмотренных законодательством РФ для периодических печатных изданий (ИФ ""Заявление на получение льгот для периодических печатных изданий"")";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003074) - Сервис приема заявления для  получение субсидий на реализацию социально значимых проектов в периодических печатных СМИ""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003075) - Сервис приема запроса о тиражах периодических печатных СМИ в адрес Федерального агентства по печати и массовым коммуникациям""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003121) - Сервис приема обращений граждан""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспечать""";"=""(00-SID0003256) - Электронный сервис «Предоставление справки на право пользования льготами средства массовой информации»""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Роспечать""";"=""(00-SID0003754) - Сервис предоставления подтверждений о целевом назначении ввозимых материалов""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003159) - Получение сведений из санитарно-эпидемиологических заключений о соответствии (несоответствии) видов деятельности (работ, услуг) требованиям государственных санитарно-эпидемиологических правил и нормативов""";"=""1""";"=""00:03:01""";"=""00:03:01""";"=""00:03:01""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003164) - Получение сведений из санитарно-эпидемиологических заключений о соответствии (несоответствии) проектной документации требованиям государственных санитарно-эпидемиологических правил и нормативов""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003165) - Получение сведений из Акта о случае профессионального заболевания и санитарно-гигиенической характеристики условий труда работника""";"=""1""";"=""00:04:48""";"=""00:04:48""";"=""00:04:48""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003219) - Получение письма, содержащего заключение по токсиколого-гигигенической экспертизе пестицида или агрохимиката""";"=""1""";"=""00:01:41""";"=""00:01:41""";"=""00:01:41""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003364) - Получение сведений из санитарно-эпидемиологических заключений о соответствии (несоответствии) видов деятельности (работ, услуг) требованиям государственных санитарно-эпидемиологических правил и нормативов  (версия 2)""";"=""3""";"=""00:04:09""";"=""00:02:07""";"=""00:01:23""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003365) - Получение сведений из санитарно-эпидемиологических заключений о соответствии (несоответствии) проектной документации требованиям государственных санитарно-эпидемиологических правил и нормативов (версия 2)""";"=""3""";"=""00:03:24""";"=""00:01:44""";"=""00:01:08""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003369) - Получение сведений из Акта о случае профессионального заболевания и санитарно-гигиенической характеристики условий труда работника (версия 2)""";"=""6""";"=""00:12:28""";"=""00:05:44""";"=""00:02:04""";"=""00:05:44""";
"=""Роспотребнадзор""";"=""(00-SID0003372) - Получение письма, содержащего заключение по токсиколого-гигигенической экспертизе пестицида или агрохимиката  (версия 2)""";"=""6""";"=""00:18:24""";"=""00:05:21""";"=""00:03:04""";"=""00:05:21""";
"=""Роспотребнадзор""";"=""(00-SID0003397) - Получение письма, содержащего заключение по токсиколого-гигигенической экспертизе пестицида или агрохимиката  (версия 2.4.3)""";"=""2""";"=""00:02:37""";"=""00:01:43""";"=""00:01:18""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003398) - Получение сведений из Акта о случае профессионального заболевания и санитарно-гигиенической характеристики условий труда работника (версия 2.4.3)""";"=""1""";"=""00:03:54""";"=""00:03:54""";"=""00:03:54""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003399) - Получение сведений из санитарно-эпидемиологических заключений о соответствии (несоответствии) проектной документации требованиям государственных санитарно-эпидемиологических правил и нормативов (версия 2.4.4)""";"=""2""";"=""00:02:12""";"=""00:01:56""";"=""00:01:06""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003402) - Получение сведений из санитарно-эпидемиологических заключений о соответствии (несоответствии) видов деятельности (работ, услуг) требованиям государственных санитарно-эпидемиологических правил и нормативов  (версия 2.4.3)""";"=""0""";"=""00:08:59""";"=""00:08:59""";"=""00:00:00""";"=""00:08:59""";
"=""Роспотребнадзор""";"=""(00-SID0003533) - Прием уведомлений о начале осуществления отдельных видов предпринимательской деятельности через ЕПГУ""";"=""1""";"=""00:12:17""";"=""00:12:17""";"=""00:12:17""";"=""00:12:17""";
"=""Роспотребнадзор""";"=""(00-SID0003641) - Получение справки о соответствии (несоответствии) жилых помещений (зданий) требованиям санитарного законодательства при оформлении опеки или попечительства""";"=""1""";"=""00:04:45""";"=""00:04:45""";"=""00:04:45""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003719) - Сведения о результатах проведения санитарно-карантинного контроля должностными лицами ФТС России (версия 2.4.4)""";"=""2""";"=""00:02:00""";"=""00:01:58""";"=""00:01:00""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003723) - Получение сведений из национального реестра свидетельств о государственной регистрации, выдаваемых в рамках Таможенного союза (версия 2.4.4)""";"=""2""";"=""00:04:23""";"=""00:03:45""";"=""00:02:11""";"=""00:00:00""";
"=""Роспотребнадзор""";"=""(00-SID0003794) - Данные из Единого реестра свидетельств о государственной регистрации Таможенного союза (российская часть)""";"=""0""";"=""00:08:59""";"=""00:08:59""";"=""00:00:00""";"=""00:08:59""";
"=""Росприроднадзор""";"=""(00-SID0003158) - Выдача разрешений на выбросы и сбросы загрязняющих веществ в окружающую среду (за исключением радиоактивных веществ), вредные физические воздействия на атмосферный воздух""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росприроднадзор""";"=""(00-SID0003684) - Предоставлвение сведений из документов Росприроднадзора""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росреестр""";"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""3""";"=""00:14:31""";"=""00:12:11""";"=""00:04:50""";"=""00:12:11""";
"=""Росреестр""";"=""(00-SID0003816) - Электронный сервис получения сведений о наложенных ограничениях на недвижимое имущество""";"=""1""";"=""00:19:22""";"=""00:14:53""";"=""00:19:22""";"=""00:14:53""";
"=""Росрыболовство""";"=""(00-SID0003570) - Электронный сервис передачи сведений о добыче (вылове) водных биоресурсов при освоении квот добычи (вылова)""";"=""1""";"=""00:00:09""";"=""00:00:09""";"=""00:00:09""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003571) - Электронный сервис передачи сведений из разрешений, выдаваемых административным органом Конвенции о международной торговле видами дикой фауны и флоры, находящимися под угрозой исчезновения (СИТЕС)""";"=""29""";"=""01:09:36""";"=""00:17:46""";"=""00:02:24""";"=""00:17:46""";
"=""Росрыболовство""";"(00-SID0003576) - Сервис по приему заявления с ЕПГУ «Государственная услуга по подготовке и принятию решения о предоставлении водных биоресурсов в пользование для осуществления рыболовства в научно-исследовательских и контрольных целях, в учебных и культурно-просветительских целях, а также в целях товарного рыбоводства, воспроизводства и акклиматизации водных биологических ресурсов»";"=""1""";"=""00:00:33""";"=""00:00:33""";"=""00:00:33""";"=""00:00:00""";
"=""Росрыболовство""";"(00-SID0003604) - Сервис Федерального агентства по рыболовству для приема заявления «Осуществление приема граждан, обеспечение своевременного и в полном объеме рассмотрения устных и письменных обращений граждан, принятие по ним решений и направление заявителям»";"=""1""";"=""00:00:09""";"=""00:00:09""";"=""00:00:09""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003614) - Сервис по приему заявления с Единого портала государственных услуг «Заключение договора пользования водными биологическими ресурсами, которые отнесены к объектам рыболовства и общий допустимый улов которых не устанавливается»""";"=""1""";"=""00:01:34""";"=""00:01:34""";"=""00:01:34""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003624) - Сервис по приему заявления с Единого портала государственных услуг «Предоставление информации, содержащейся в государственном рыбохозяйственном реестре»""";"=""1""";"=""00:00:09""";"=""00:00:09""";"=""00:00:09""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003646) - Сервис по приему заявления с Единого портала государственных услуг «Заключение договоров о предоставлении рыбопромыслового участка»""";"=""1""";"=""00:00:32""";"=""00:00:32""";"=""00:00:32""";"=""00:00:00""";
"=""Росрыболовство""";"(00-SID0003648) - Сервис подачи заявления с ЕПГУ на оказание государственной услуги по организации и проведению аукциона по продаже права на заключение договора о закреплении долей квот добычи (вылова) водных биологических ресурсов и (или) договора пользования водными биоресурсами при переходе права на добычу (вылов) водных биоресурсов от одного лица к другому лицу путем отчуждения";"=""1""";"=""00:00:09""";"=""00:00:09""";"=""00:00:09""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003662) - Электронный сервис предоставления заключения и скан-копии документа согласования размещения объекта.""";"=""1""";"=""00:00:49""";"=""00:00:49""";"=""00:00:49""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003676) - Сервис по приему заявления с Единого портала государственных услуг «Заключение договоров на искусственное воспроизводство водных биоресурсов»""";"=""1""";"=""00:01:07""";"=""00:01:07""";"=""00:01:07""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003686) - Сервис по приему заявления с Единого портала государственных услуг «Государственная услуга по выдаче, приостановлению действия и аннулированию разрешений на добычу (вылов) водных биологических ресурсов, а также внесению в них изменений»""";"=""1""";"=""00:00:32""";"=""00:00:32""";"=""00:00:32""";"=""00:00:00""";
"=""Росрыболовство""";"=""(00-SID0003769) - Сервис по приему заявления с ЕПГУ «Государственная услуга по распределению в установленном порядке между юридическими лицами и индивидуальными предпринимателями промышленных квот добычи (вылова) водных биологических ресурсов»""";"=""0""";"=""00:04:45""";"=""00:04:45""";"=""00:00:00""";"=""00:00:00""";
"=""Росрыболовство""";"(00-SID0003792) - Сервис по приему заявления с ЕПГУ «Государственная услуга по оформлению, выдаче и регистрации разрешения на экспорт и разрешения на импорт, сертификата на реэкспорт и сертификата на интродукцию из моря осетровых видов рыб и продукции из них, включая икру, а также внесения в них изменений»";"=""0""";"=""00:04:45""";"=""00:04:45""";"=""00:00:00""";"=""00:00:00""";
"=""Росрыболовство""";"(00-SID0003819) - Сервис по приему заявления с Единого портала государственных услуг «Государственная услуга по согласованию Федеральным агентством по рыболовству и его территориальными органами строительства и реконструкции объектов капитального строительства»";"=""0""";"=""00:04:44""";"=""00:04:44""";"=""00:00:00""";"=""00:00:00""";
"=""Россвязь""";"=""(00-SID0003037) - Прием заявлений""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россвязь""";"=""(00-SID0003119) - Сервис предоставления информации из реестра ресурсов нумерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россельхознадзор""";"(00-SID0003585) - Электронный сервис ""Сервис приема заявок с ЕПГУ для Россельхознадзора""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россельхознадзор""";"(00-SID0003629) - Электронный сервис ""Сведения  из разрешения Россельхознадзора при перевозке живых животных, пищевой продукции, продовольственного сырья, кормов и кормовых добавок по территории Российской Федерации, предназначенных для вывоза с территории Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россельхознадзор""";"(00-SID0003645) - Электронный сервис ""Сведения из заключений о целесообразности ввоза образцов незарегистрированных химических средств защиты растений для проведения регистрационных и производственных испытаний, а также ограниченного количества незарегистрированных химических средств защиты растений для ликвидации очагов выявленного карантинного вредного организма""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россельхознадзор""";"(00-SID0003675) - Электронный сервис ""Предоставление сведений о должнике, его имуществе""	";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россельхознадзор""";"(00-SID0003724) - Электронный сервис ""Электронный сервис по предоставлению информации для осуществления ветеринарного контроля в пунктах пропуска через государственную границу Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Россельхознадзор""";"(00-SID0003734) - Электронный сервис ""Электронный сервис по предоставлению информации для осуществления карантинного фитосанитраного контроля в пунктах пропуска через государственную границу Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росстандарт""";"=""(00-SID0003234) - Электронный сервис предоставления данных из сертификата об утверждении типа игрового автомата""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росстандарт""";"=""(00-SID0003239) - Электронный сервис предоставления данных по поверке средств измерений""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росстандарт""";"=""(00-SID0003265) - Электронный сервис предоставления сведений, подтверждающих утверждение типа средства измерений""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росстандарт""";"=""(00-SID0003266) - Электронный сервис предоставления данных из сертификата соответствия и сведений по одобрению типа транспортного средства""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росстандарт""";"=""(00-SID0003578) - Электронный сервис предоставления сведений, подтверждающих утверждение типа средства измерений""";"=""2""";"=""00:03:27""";"=""00:01:54""";"=""00:01:43""";"=""00:00:00""";
"=""Росстандарт""";"=""(00-SID0003579) - Сервис Росстандарта для приема заявления на предоставление информации из единого реестра зарегистрированных систем добровольной сертификации.""";"=""1""";"=""00:02:51""";"=""00:02:51""";"=""00:02:51""";"=""00:00:00""";
"=""Росстандарт""";"=""(00-SID0003586) - Электронный сервис предоставления данных по поверке средств измерений""";"=""1""";"=""00:00:19""";"=""00:00:19""";"=""00:00:19""";"=""00:00:00""";
"=""Росстандарт""";"=""(00-SID0003587) - Сервис Росстандарта для приема заявления на включение сведений в единый реестр зарегистрированных систем добровольной сертификации.""";"=""1""";"=""00:03:55""";"=""00:03:55""";"=""00:03:55""";"=""00:00:00""";
"=""Росстандарт""";"=""(00-SID0003592) - Электронный сервис предоставления сведений по одобрению типа транспортного средства""";"=""1""";"=""00:00:53""";"=""00:00:53""";"=""00:00:53""";"=""00:00:00""";
"=""Росстандарт""";"=""(00-SID0003595) - Электронный сервис предоставления данных из сертификата об утверждении типа игрового автомата""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Росстат""";"=""(00-SID0003038) - Предоставление официальной статистической информации по запросам граждан и организаций""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росстат""";"=""(00-SID0003706) - Сервис доступа БД БОО""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росстат""";"=""(00-SID0003875) - Предоставление данных бухгалтерской отчетности по запросам пользователей с портала государственных услуг""";"=""0""";"=""06:18:18""";"=""06:18:18""";"=""00:00:00""";"=""06:18:18""";
"=""Росстат""";"=""(00-SID0003883) - Предоставление данных бухгалтерской отчетности по запросам пользователей с портала государственных услуг""";"=""0""";"=""06:18:18""";"=""06:18:18""";"=""00:00:00""";"=""06:18:18""";
"=""Ростехнадзор""";"=""(00-SID0003024) - Лицензирование эксплуатации взрывпожопасных объектов""";"=""11""";"=""16:58:36""";"=""06:18:04""";"=""01:32:36""";"=""16:47:40""";
"=""Ростехнадзор""";"(00-SID0003125) - Электронный сервис направления в Ростехнадзор заявлений на предоставление государственных услуг в рамках лицензирования отдельных видов деятельности, функции лицензирующего органа в отношении которых осуществляются Ростехнадзором, и прилагаемых к заявлениям документов с единого портала государственных услуг в информационную систему Ростехнадзора.";"=""11""";"=""16:51:40""";"=""06:18:25""";"=""01:31:58""";"=""16:40:48""";
"=""Ростехнадзор""";"(00-SID0003163) - Электронный сервис направления в Ростехнадзор заявлений на предоставление государственных услуг в рамках выдачи разрешений на применение конкретных видов (типов) технических устройств на опасных производственных объектах и прилагаемых к заявлениям документов с Единого портала государственных услуг в информационную систему Ростехнадзора.";"=""6""";"=""16:38:21""";"=""06:18:28""";"=""02:46:23""";"=""16:38:21""";
"=""Ростехнадзор""";"(00-SID0003625) - ЭС Федеральной службы по экологическому, технологическому и атомному надзору, предназначенный для представления документов и информации, имеющихся в распоряжении Ростехнадзора, в рамках межведомственного информационного взаимодействия, осуществляемого в целях предоставления государственных и муниципальных услуг c использованием единой системы межведомственного электронного взаимодействия и подключаемых к ней региональных систем межведомственного электронного взаимодействия";"=""7""";"=""16:44:16""";"=""06:18:35""";"=""02:23:28""";"=""16:42:11""";
"=""Ростехнадзор""";"=""(00-SID0003709) - Электронный сервис Федеральной службы по экологическому, технологическому и атомному надзору предоставления услуги по включению юридического лица в перечень экспертных центров""";"=""6""";"=""16:42:19""";"=""06:19:58""";"=""02:47:03""";"=""16:42:19""";
"=""Ространснадзор""";"=""(00-SID0003141) - Электронный сервис для работы с заявками получателей государственных услуг с потрала www.gosuslugi.ru""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Ространснадзор""";"=""(00-SID0003142) - Электронный сервис для работы с организационной структурой ведомства.""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Ространснадзор""";"=""(00-SID0003143) - Электронный сервис для получения шаблона платежных документов.""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Ространснадзор""";"=""(00-SID0003275) - Электронный сервис для приема запросов через СМЭВ, возвращения статусов обработки запросов и результата обработки запросов.""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Ространснадзор""";"=""(00-SID0003539) - Электронный сервис предоставления сведений из реестра лицензий на деятельность по перевозкам внутренним водным транспортом, морским транспортом опасных грузов""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Ространснадзор""";"=""(00-SID0003540) - Электронный сервис предоставления сведений из удостоверения допуска к осуществлению международных автомобильных перевозок""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Ространснадзор""";"=""(00-SID0003752) - Электронный сервис предоставления сведений из лицензии по перевозкам пассажиров автомобильным транспортом, оборудованным для перевозок более восьми человек""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Роструд""";"=""(00-SID0003061) - Предоставление сведений о произведенных выплатах и возвратах денежных средств выполненных в рамках постановлений Правительства РФ № 475 от 02.08.2005 № 591 от 02.10.2006 № 313 от 27.05.2006""";"=""1""";"=""00:08:00""";"=""00:04:00""";"=""00:08:00""";"=""00:00:00""";
"=""Роструд""";"=""(00-SID0003349) - Информирование граждан о положении на рынке труда в Российской Федерации, правах и гарантиях в области занятости населения и защиты от безработицы""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Ростуризм""";"=""(00-SID0003615) - Электронный сервис предоставления государственной услуги по информированию в установленном порядке туроператоров, турагентов и туристов об угрозе безопасности туристов в стране (месте) временного пребывания""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Ростуризм""";"=""(00-SID0003674) - Электронный сервис предоставления государственной услуги по формированию и ведению Единого федерального реестра туроператоров""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Росфинмониторинг""";"(00-SID0003560) - Электронный сервис ""Прием заявлений в Росфинмониторинг с ЕПГУ""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
